isolate,leafsp,trt,area,lesion1,lesion2,lesion3,totlesion,Unattributed infection area,Percent Infected Attributed Only,Percent Infected Attributed + Unnattributed,AB_Notes,VM_Notes,0% infection
1330 Laciag,Castel,3,3415.299,0,0,0,0,22.456,0.00%,0.66%,whole leaf yellowish,,
1330 Laciag,Castel,4,6528.093,0,0,0,0,176.826,0.00%,2.71%,,,
1330 Laciag,Castel,5,4200.684,2403.019,0,0,2403.019,0,57.21%,57.21%,,,
1330 Laciag,Castel,Control 1,5984.554,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Castel,Control 2,7499.105,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Castel,Control 3,4253.324,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Castel,Control 4,3621.423,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Castel,Control 5,3173.775,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,1,5133.293,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,2,6108.149,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,3,8669.353,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,4,3608.61,29.535,36.81,0,66.345,0,1.84%,1.84%,,,
1330 Laciag,Dendar,5,5271.567,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,Control 1,4626.299,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,Control 2,3892.668,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,Control 3,4298.639,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,Control 4,3133.449,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Dendar,Control 5,5778.914,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Mourmy,1,447.902,0,0,0,0,0,0.00%,0.00%,Slight dried out,,yes
1330 Laciag,Mourmy,2,160.562,0,0,0,0,0,0.00%,0.00%,dried out and curled,,yes
1330 Laciag,Mourmy,3,577.723,16.968,0,0,16.968,0,2.94%,2.94%,Slight dried out,,
1330 Laciag,Mourmy,4,495.412,0,0,0,0,0,0.00%,0.00%,Slight dried out,,yes
1330 Laciag,Mourmy,5,314.447,6.933,0,0,6.933,0,2.20%,2.20%,Slight dried out,,
1330 Laciag,Mourmy,Control 1,448.763,0,0,0,0,0,0.00%,0.00%,Slight dried out,,yes
1330 Laciag,Mourmy,Control 2,243.592,0,0,0,0,0,0.00%,0.00%,Slight dried out,,yes
1330 Laciag,Mourmy,Control 3,402.857,3.548,0,0,3.548,0,0.88%,0.88%,Slight dried out,,
1330 Laciag,Mourmy,Control 4,223.872,0,0,0,0,0,0.00%,0.00%,Slight dried out,,yes
1330 Laciag,Mourmy,Control 5,286.395,5.549,2.689,3.783,12.021,0.00%,4.20%,4.20%,Slight dried out,,
1330 Laciag,Ormoma,1,2987.23,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,2,2996.166,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,3,4898.969,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,4,7277.135,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,5,6423.147,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,Control 1,5007.916,0,0,0,0,0,0.00%,0.00%,,,yes
1330 Laciag,Ormoma,Control 2,9642.733,0,0,0,0,0,0.00%,0.00%,,,yes
